199.61431325, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.65404925, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.69378425, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.73352025, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.77325625, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.81299125, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.85272725, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.89246225, 37.7878392792, -122.397079575, -22.5069122314, 37.7878392792, -122.397079575, -30.5002384369
199.93219825, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
199.97193325, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.01166925, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.05140425, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.09114025, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.13087525, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.17061125, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.21034725, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.25008225, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.289818375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.329553375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.369289375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.409024375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.448760375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.488496375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.528231375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.567967375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.607702375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.647438375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.687174375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.726909375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.766645375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.806381375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.846116375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.885852375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.925587375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
200.965323375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.005059375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.044794375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.084530375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.124265375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.164001375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.203737375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.243472375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.283212375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.322947375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.362683375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.402419375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.442154375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.481890375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.521625375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.561361375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.601097375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.640832375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.680568375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
201.720304375, 37.7878392792, -122.397079575, -22.5088329315, 37.7878392792, -122.397079575, -30.502158444
